maquina_for_name,maquina_loc_name,gov_modelo,gov_dsl,param,valor
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kdgov,5.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tdgov,0.1
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tact,0.1
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Trate,0.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Dm,0.001
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Flag,0.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Teng,0.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tc,0.1
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tb,0.2
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kiload,0.02
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Ldref,1.2
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kturb,1.05
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Wfnl,0.01
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kpload,0.2
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tfload,20.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tsa,0.5
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tsb,5.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Ka,10.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Ta,0.1
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kimw,0.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tpelec,2.0
