escenario,for_name,loc_name,shtype,ncapa,ncapx,qcapn_Mvar_paso,outserv
P10,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P10,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P10,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P10,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P10,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P10,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P10,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P10,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P10,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P10,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P10,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P10,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P10,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P10,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P10,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P10,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P10,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P10,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P10,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P10,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P10,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P10,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P10,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P11,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P11,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P11,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P11,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
