escenario,for_name,loc_name,clase,tap_actual,tap_hv,tap_mv,tap_lv,outserv
P01,WKQA1E_WPES1K-T1,138/34.5 kV Transformador Peravia Solar,ElmTr2,11,,,,0
P01,WKQA1E_WPES2K-T1,138/34.5 kV Transformador Peravia Sola2,ElmTr2,11,,,,0
P01,WMETEE_WMETEF-T1,138/69 kV S/E Móvil ETED,ElmTr2,14,,,,0
P01,WPAK5E_WXPA4K-T1,154/11 kV Powership Azua KPS56 T1,ElmTr2,10,,,,0
P01,WAHO1E_WAHONF-T1,138/69 kV Transformador Arroyo Hondo,ElmTr2,11,,,,0
P01,WHERRE_WHNVAF-T1,138/69 kV Transformador Herrera,ElmTr2,16,,,,0
P01,WDJAOE_WDJAOF-T1,138/69 kV Transformador Dajao,ElmTr2,1,,,,0
P01,WBCHIE_WBCHIF-T1,138/69 kV Transformador Boca Chica,ElmTr2,8,,,,0
P01,WHNSAE_WHNSAF-T1,138/69 kV Transformador Hainamosa,ElmTr2,10,,,,0
P01,WVDUAE_WVDUAF-T1,138/69 kV Transformador Villa Duarte,ElmTr2,5,,,,0
P01,WLMI6E_WLMI6K-T1,138/13.8 kV Transformador Los Mina 6,ElmTr2,2,,,,0
P01,WAANDE_WAANVK-T1,138/13.8 kV Transformador AES Andrés TV,ElmTr2,2,,,,0
P01,WAANDE_WAANGK-T1,138/19 kV Transformador AES Andrés TG,ElmTr2,2,,,,0
P01,WAANDE_WXBAAK-T1,138/4.16 kV BESS AES Andrés T1,ElmTr2,0,,,,0
P01,WMETAE_WMETAK-T1,138/13.2 kV Transformador METALDOM,ElmTr2,0,,,,0
P01,WTIM2E_WTIM2F-T1,138/69 kV Transformador Timbeque 2,ElmTr2,16,,,,0
P01,WLMI5E_WLMI5K-T1,138/13.8 kV Transformador Los Mina 5,ElmTr2,2,,,,0
P01,WPALAE_WPALBF-T1,138/69 kV Transformador 1 Palamara,ElmTr2,10,,,,0
P01,WPALAE_WPALAF-T1,138/69 kV Transformador 2 Palamara,ElmTr2,6,,,,0
P01,WEMA2E_WEMA2K-T1,138/13.8 kV Transformador EDM2,ElmTr2,0,,,,0
P01,WMP2AE_WXWC2K-T1,138/34.5 kV Transformador WCSP 2,ElmTr2,0,,,,0
P01,WMP2BE_WXWC3K-T1,138/34.5 kV Transformador WCSP 3,ElmTr2,0,,,,0
P01,WLMI7E_WLMI7K-T1,138/13.8 kV Transformador Los Mina 7,ElmTr2,2,,,,0
P01,WMETRE_WMETRF-T2,138/69 kV Transformador Metropolitano 2,ElmTr2,8,,,,0
P01,WHNS1E_WLVICK-T1,138/34.5 kV Transformador La Victoria,ElmTr2,0,,,,0
P01,WMIRAE_WMIRAK-T1,138/34.5 kV Transformador Mirasol,ElmTr2,0,,,,0
P01,WSIBAE_WXSI1K-T1,138/13.8 kV Trafo SIBA Grupo 1,ElmTr2,-2,,,,0
P01,WSIBAE_WXSI2K-T1,138/13.8 kV Trafo SIBA Grupo 2,ElmTr2,-2,,,,0
P01,WSIBAE_WXSI3K-T1,138/13.8 kV Trafo SIBA Grupo 3,ElmTr2,-2,,,,0
P01,WSIBAE_WXSI4K-T1,138/13.8 kV Trafo SIBA Grupo 4,ElmTr2,-2,,,,0
P01,WSIBBE_WXSI5K-T1,138/13.8 kV Trafo SIBA Grupo 5,ElmTr2,-2,,,,0
P01,WSIBAE_WXSI6K-T1,138/13.8 kV Trafo SIBA Grupo 6,ElmTr2,-2,,,,0
P01,WLMI6E_WXSALMK-T1,138/4.16 kV SA Parque Energ. Los Mina,ElmTr2,0,,,,0
P01,WPINAF_WPIN2K-T1,69/13.8 kV Transformador Pinalito 2,ElmTr2,0,,,,0
P01,WPINAF_WPIN1K-T1,69/13.8 kV Transformador Pinalito 1,ElmTr2,0,,,,0
P01,WRBLAF_WRBL2K-T1,69/13.8 kV Transformador Río Blanco 2,ElmTr2,1,,,,0
P01,WRBLAF_WRBL1K-T1,69/13.8 kV Transformador Río Blanco 1,ElmTr2,1,,,,0
P01,WRINCF_WRINCK-T1,69/12.5 kV Transformador Rincón,ElmTr2,0,,,,0
P01,WNAGUF_WRJCRK-T1,69/4.16 kV Transformador Rosa Julia Cruz,ElmTr2,0,,,,0
P01,WCONSF_WESALK-T1,69/12.5 kV Transformador El Salto,ElmTr2,0,,,,0
P01,WGVEBF_WLVE1K-T1,69/13.8 kV Transformador La Vega Grupo 1,ElmTr2,4,,,,0
