planta,dsl,dsl_ruta,modelo,array,origen,n_valores,modelo_encriptado,legible
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_NRGME,IntMat:NRGME,42,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_deltaME,IntMat:deltaME,42,1,1
BASLER DECS-200,UEmin Lim,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\BASLER DECS-200.ElmComp\UEmin Lim.ElmDsl,uel_Under Excitation Limiter,array_UEL_PQ,param,0,1,0
MAN 18V/51/60DDF,Engine,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\MAN 18V/51/60DDF.ElmComp\Engine.ElmDsl,eng_MAN Diesel Engine_v2,oarray_NRGM,IntMat:NRGM,12,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Ptable,IntMat:Ptable,20,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Itable,IntMat:Itable,20,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_NRGME,IntMat:NRGME,42,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 2.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_deltaME,IntMat:deltaME,42,1,1
UNITROL 1000 revQ,10_PQ Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\10_PQ Limiter.ElmDsl,pql_PQ Limiter,array_Q_P,param,0,1,0
UNITROL 1000 revQ,11_Stator Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\11_Stator Current Limiter.ElmDsl,iml_Stator Current Limiter,array_T_Im,param,0,1,0
UNITROL 1000 revQ,13_Maximum Exc. Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\13_Maximum Exc. Current Limiter.ElmDsl,ieh_IeMax Limiter,array_TIe,param,0,1,0
UNITROL 1000 revQ,13_Maximum Exc. Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\Planta_POWERSHIP AZUA KPS 60.ElmComp\UNITROL 1000 revQ.ElmComp\13_Maximum Exc. Current Limiter.ElmDsl,ieh_IeMax Limiter,array_IeVfd,param,0,1,0
