for_name,loc_name,ruta,clase,tap_actual,outserv,tap_hv,tap_mv,tap_lv
WPAK5E_WXPA4K-T1,154/11 kV Powership Azua KPS56 T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\154/11 kV Powership Azua KPS56 T1.ElmTr2,ElmTr2,10,0,,,
WAHO1E_WAHONF-T1,138/69 kV Transformador Arroyo Hondo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\138/69 kV Transformador Arroyo Hondo.ElmTr2,ElmTr2,11,0,,,
WHERRE_WHNVAF-T1,138/69 kV Transformador Herrera,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\138/69 kV Transformador Herrera.ElmTr2,ElmTr2,16,0,,,
WDJAOE_WDJAOF-T1,138/69 kV Transformador Dajao,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Dajao.ElmSite\138/69 kV Transformador Dajao.ElmTr2,ElmTr2,1,0,,,
WBCHIE_WBCHIF-T1,138/69 kV Transformador Boca Chica,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138/69 kV Transformador Boca Chica.ElmTr2,ElmTr2,7,0,,,
WHNSAE_WHNSAF-T1,138/69 kV Transformador Hainamosa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\138/69 kV Transformador Hainamosa.ElmTr2,ElmTr2,13,0,,,
WVDUAE_WVDUAF-T1,138/69 kV Transformador Villa Duarte,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Villa Duarte.ElmSite\138/69 kV Transformador Villa Duarte.ElmTr2,ElmTr2,5,0,,,
WLMI6E_WLMI6K-T1,138/13.8 kV Transformador Los Mina 6,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\138/13.8 kV Transformador Los Mina 6.ElmTr2,ElmTr2,2,0,,,
WAANDE_WAANVK-T1,138/13.8 kV Transformador AES Andrés TV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/13.8 kV Transformador AES Andrés TV.ElmTr2,ElmTr2,2,0,,,
WAANDE_WAANGK-T1,138/19 kV Transformador AES Andrés TG,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/19 kV Transformador AES Andrés TG.ElmTr2,ElmTr2,2,0,,,
WAANDE_WXBAAK-T1,138/4.16 kV BESS AES Andrés T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138/4.16 kV BESS AES Andrés T1.ElmTr2,ElmTr2,0,0,,,
WMETAE_WMETAK-T1,138/13.2 kV Transformador METALDOM,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\METALDOM.ElmSite\138/13.2 kV Transformador METALDOM.ElmTr2,ElmTr2,0,0,,,
WTIM2E_WTIM2F-T1,138/69 kV Transformador Timbeque 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\138/69 kV Transformador Timbeque 2.ElmTr2,ElmTr2,15,0,,,
WLMI5E_WLMI5K-T1,138/13.8 kV Transformador Los Mina 5,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\138/13.8 kV Transformador Los Mina 5.ElmTr2,ElmTr2,2,0,,,
WPALAE_WPALBF-T1,138/69 kV Transformador 1 Palamara,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 1 Palamara.ElmTr2,ElmTr2,11,0,,,
WPALAE_WPALAF-T1,138/69 kV Transformador 2 Palamara,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Palamara.ElmSite\138/69 kV Transformador 2 Palamara.ElmTr2,ElmTr2,5,0,,,
WEMA2E_WEMA2K-T1,138/13.8 kV Transformador EDM2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\EDM 2.ElmSite\138/13.8 kV Transformador EDM2.ElmTr2,ElmTr2,0,0,,,
WMP2AE_WXWC2K-T1,138/34.5 kV Transformador WCSP 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\138/34.5 kV Transformador WCSP 2.ElmTr2,ElmTr2,0,0,,,
WMP2BE_WXWC3K-T1,138/34.5 kV Transformador WCSP 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\138/34.5 kV Transformador WCSP 3.ElmTr2,ElmTr2,0,0,,,
WLMI7E_WLMI7K-T1,138/13.8 kV Transformador Los Mina 7,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\138/13.8 kV Transformador Los Mina 7.ElmTr2,ElmTr2,2,0,,,
WMETRE_WMETRF-T2,138/69 kV Transformador Metropolitano 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Metropolitano.ElmSite\138/69 kV Transformador Metropolitano 2.ElmTr2,ElmTr2,10,0,,,
WHNS1E_WLVICK-T1,138/34.5 kV Transformador La Victoria,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\138/34.5 kV Transformador La Victoria.ElmTr2,ElmTr2,0,0,,,
WMIRAE_WMIRAK-T1,138/34.5 kV Transformador Mirasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\138/34.5 kV Transformador Mirasol.ElmTr2,ElmTr2,0,0,,,
WSIBAE_WXSI1K-T1,138/13.8 kV Trafo SIBA Grupo 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\SIBA.ElmSite\138/13.8 kV Trafo SIBA Grupo 1.ElmTr2,ElmTr2,-2,0,,,
