for_name,loc_name,ruta,P_MW,Q_Mvar,escala,outserv
ZRCHAF-D1,Demanda Río Chavón,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Río Chavón.ElmLod,1.2000000476837158,0.38999998569488525,1.0,0
ZBVISF-D1,Demanda Buena Vista,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Buena Vista.ElmLod,15.0600004196167,4.389999866485596,1.0,0
ZBENEF-D1,Demanda Benedicto,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Benedicto.ElmLod,1.149999976158142,0.3799999952316284,1.0,0
ZHIGUF-D1,Demanda Higüey 69 kV,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Higüey 69 kV.ElmLod,23.520000457763672,7.730000019073486,1.0,0
ZLRMAF-D1,Demanda 1 La Romana Pueblo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 1 La Romana Pueblo.ElmLod,6.369999885559082,2.0899999141693115,1.0,0
ZBLECF-D1,Demanda Batey Lechuga,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Batey Lechuga.ElmLod,0.14000000059604645,0.05999999865889549,1.0,0
ZGUAYF-D1,Demanda Guaymate,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Guaymate.ElmLod,0.9599999785423279,0.4099999964237213,1.0,0
ZRPELF-D1,Demanda Rancho Peligro,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Rancho Peligro.ElmLod,0.019999999552965164,0.009999999776482582,1.0,0
ZCSULF-D1,Demanda Consuelo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Consuelo.ElmLod,10.350000381469727,4.079999923706055,1.0,0
ZSMARF-D1,Demanda Sabana de la Mar,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Sabana de la Mar.ElmLod,4.710000038146973,2.2799999713897705,1.0,0
ZHMAYF-D1,Demanda Hato Mayor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Hato Mayor.ElmLod,14.3100004196167,6.099999904632568,1.0,0
ZXDBRF-D1,Demanda Destilería Brugal,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Destilería Brugal.ElmLod,1.0399999618530273,0.4699999988079071,1.0,0
ZZSPAF-D1,Demanda ZF San Pedro AES,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda ZF San Pedro AES.ElmLod,36.599998474121094,1.690000057220459,1.0,0
